gender;age;scs1;scs2;scs3;scs4;scs5;scs6;scs7;scs8;scs9;scs10;scs11;scs12;scs13;scs14;scs15;scs16;scs17;scs18;scs19;scs20;scs21;scs22;scs23
2;20;1;1;4;0;1;3;0;0;4;0;0;1;3;4;0;0;0;0;2;1;1;2;0
2;21;1;2;4;2;1;2;0;4;4;2;2;2;2;2;0;2;1;0;2;1;2;1;2
2;25;1;3;2;2;1;4;4;3;4;1;3;0;4;4;3;0;4;3;2;3;3;2;1
2;18;1;2;2;2;2;3;1;2;3;1;3;2;1;3;1;2;1;0;3;2;1;1;1
2;21;1;3;4;0;1;3;1;1;4;1;2;1;2;4;1;1;3;0;1;0;2;2;1
2; ;1;3;3;3;3;3;1;2;4;3;3;1;2;3;0;3;1;2;4;2;3;1;2
2;23;1;2;2;1;3;3;0;1;3;1;3;0;3;3;1;1;2;0;1;2;2;3;0
2;20;1;2;3;2;1;3;1;3;4;2;2;2;1;2;0;1;3;1;1;0;1;0;1
2;26;1;2;1;1;1;2;1;2;2;1;3;1;3;3;3;1;2;0;2;1;2;2;0
2;23;1;4;4;0;1;2;0;1;4;1;1;0;4;4;4;2;1;4;0;4;2;4;0
2;19;1;4;4;2;0;4;0;1;3;3;3;2;3;4;2;3;2;0;4;2;2;2;3
2;21;1;0;2;0;3;2;2;4;4;0;1;0;4;3;3;1;4;1;3;2;1;1;1
2;19;1;4;4;1;2;4;2;1;4;2;2;3;3;3;1;1;0;1;3;2;1;2;2
2;27;1;3;3;0;1;3;0;1;4;1;3;1;2;3;2;1;1;0;2;2;2;3;1
2;21;1;2;3;2;1;1;0;1;2;1;0;3;1;2;2;2;0;0;1;3;0;3;1
2;20;1;1;1;3;1;1;2;4;2;3;2;0;0;2;3;1;1;0;3;3;2;3;2
2;21;1;4;2;0;2;2;4;4;1;0;0;0;2;2;0;0;4;2;4;2;3;2;1
2;20;1;3;1;1;1;3;0;2;3;0;2;3;1;3;4;1;1;2;3;3;2;2;1
2;19;1;3;3;1;3;3;1;1;4;1;2;2;2;3;1;1;1;1;2;2;2;3;1
2;20;1;1;2;1;1;3;0;2;4;3;2;1;3;2;1;2;1;0;2;0;1;2;2
2;24;1;4;4;0;1;3;1;0;2;0;3;0;3;3;3;1;4;0;2;1;3;3;0
2;20;1;0;3;2;3;2;1;3;4;2;2;3;3;4;1;3;1;1;3;3;2;4;1
2;19;1;3;4;4;0;2;0;0;4;3;3;3;4;3;1;3;4;0;1;2;3;0;1
2;27;1;1;0;4;1;1;1;1;2;4;1;1;3;1;2;0;0;0;2;0;2;2;1
2;19;1;1;4;1;2;2;1;3;4;1;2;2;2;3;1;1;1;0;1;1;2;1;1
2;25;1;4;1;3;4;4;0;1;4;2;2;0;2;4;2;4;1;3;2;3;3;3;0
 ; ;2;3;3;3;2;3;3;3;2;3;1;1;2;3;2;2;2;2;1;2;2;3;2
 ; ;2;4;2;2;3;4;0;2;2;3;3;2;2;3;3;3;3;1;4;3;3;2;3
1;20;2;3;2;3;2;3;0;2;2;1;2;2;3;4;2;2;2;0;2;1;1;2;1
1;26;2;3;2;1;2;3;1;3;2;3;3;3;2;3;2;3;3;1;3;2;3;3;2
1;19;2;1;3;4;1;3;1;2;4;2;2;4;3;3;1;3;1;1;2;2;2;3;3
1;23;2;3;2;1;1;3;0;3;0;0;3;2;2;3;2;1;2;3;4;4;2;1;1
1;20;2;3;3;2;3;3;1;1;4;1;3;3;1;4;2;1;4;2;1;1;3;1;1
